rhoc,M,Lambda,R
2.800000000000000000e+14,1.572406763937440055e-01,1.274250894873360917e+07,1.834000000008344955e+01
3.314285714285714375e+14,2.768379911128969195e-01,1.040082901217631530e+06,1.344000000032816722e+01
3.828571428571428750e+14,4.522873767630043451e-01,1.297172202749221178e+05,1.248000000037611201e+01
4.342857142857142500e+14,6.792147483964342536e-01,2.203625859517633580e+04,1.244000000037810949e+01
4.857142857142857500e+14,9.282289474891610714e-01,5.267005135344233167e+03,1.262000000036912084e+01
5.371428571428571250e+14,1.115446921986071871e+00,2.150636057996209729e+03,1.278000000036112915e+01
5.885714285714285000e+14,1.263006338504708115e+00,1.121688572661340459e+03,1.286000000035713420e+01
6.400000000000000000e+14,1.381426629980783138e+00,6.761508981648553345e+02,1.290000000035513672e+01
6.914285714285715000e+14,1.487724022345710662e+00,4.299530654950987127e+02,1.290000000035513672e+01
7.428571428571428750e+14,1.575598063544412453e+00,2.945552960855629863e+02,1.288000000035613546e+01
7.942857142857142500e+14,1.657250629811159115e+00,2.055165421235946610e+02,1.284000000035813294e+01
8.457142857142857500e+14,1.725739226012484639e+00,1.504600581518842546e+02,1.278000000036112915e+01
8.971428571428571250e+14,1.782983746716532591e+00,1.146579996537209922e+02,1.270000000036512589e+01
9.485714285714286250e+14,1.834231339429778007e+00,8.875890756251619962e+01,1.262000000036912084e+01
1.000000000000000000e+15,1.875203051550105915e+00,7.143975488223242110e+01,1.254000000037311580e+01
1.051428571428571500e+15,1.907950968123228508e+00,5.934425453081522051e+01,1.243980685199679748e+01
1.102857142857142875e+15,1.933919501486552450e+00,5.059674229696103964e+01,1.235879553327208669e+01
1.154285714285714250e+15,1.954407845535780508e+00,4.406788586261152574e+01,1.230000000038510244e+01
1.205714285714285750e+15,1.970495072554798721e+00,3.904831023732230477e+01,1.222000000038909739e+01
1.257142857142857000e+15,1.983794495737939867e+00,3.485419745137672010e+01,1.214000000039309235e+01
1.308571428571428500e+15,1.994390329972700382e+00,3.138128069176625701e+01,1.206000000039708731e+01
1.360000000000000000e+15,2.002863268917447925e+00,2.838727737670929585e+01,1.198000000040108404e+01
1.411428571428571500e+15,2.009020607680970461e+00,2.595157848041803916e+01,1.190000000040507899e+01
1.462857142857143000e+15,2.013281854505731605e+00,2.393838202279545513e+01,1.182000000040907395e+01
1.514285714285714250e+15,2.016128036689451619e+00,2.216862015025128940e+01,1.174000000041306890e+01
1.565714285714285750e+15,2.017658865119237976e+00,2.065672436528435441e+01,1.166000000041706564e+01
1.617142857142857250e+15,2.018054119963982096e+00,1.924059407576785929e+01,1.160000000042006185e+01
1.668571428571428500e+15,2.017413665022917524e+00,1.802743910416628381e+01,1.152000000042405681e+01
1.720000000000000000e+15,2.015945743198186868e+00,1.698644534583391419e+01,1.144000000042805176e+01
1.771428571428571500e+15,2.013793841440927768e+00,1.608401063744739545e+01,1.138000000043104798e+01
1.822857142857143000e+15,2.010773448693635057e+00,1.521348677828552276e+01,1.130000000043504471e+01
1.874285714285714250e+15,2.007219632369805051e+00,1.444020652861541265e+01,1.124000000043804093e+01
1.925714285714285750e+15,2.002099510675324101e+00,1.357408059803313627e+01,1.114000000044303462e+01
1.977142857142857250e+15,1.996009464149205881e+00,1.272346655947977467e+01,1.104000000044802832e+01
2.028571428571428500e+15,1.989769198377911996e+00,1.197734116100071766e+01,1.096000000045202505e+01
2.080000000000000000e+15,1.983493101474332887e+00,1.131861640517467471e+01,1.088000000045602000e+01
2.131428571428571500e+15,1.977225529405733706e+00,1.073520977880034977e+01,1.080000000046001496e+01
2.182857142857143000e+15,1.969012754691038980e+00,1.005594848827120913e+01,1.070000000046500865e+01
2.234285714285714250e+15,1.960383660149056739e+00,9.410080627672506637e+00,1.060000000047000412e+01
2.285714285714286000e+15,1.952034098194517675e+00,8.839207787512556536e+00,1.050000000047499782e+01
2.337142857142857000e+15,1.943584731824927303e+00,8.306758419666362414e+00,1.040000000047999684e+01
2.388571428571428500e+15,1.935506376546620277e+00,7.836218771892835555e+00,1.032000000048399713e+01
2.440000000000000000e+15,1.927394692226920281e+00,7.399357949331539785e+00,1.022000000048899615e+01
2.491428571428571500e+15,1.918268535095948524e+00,6.944839178253229051e+00,1.011767657373522411e+01
2.542857142857143000e+15,1.909601416287364906e+00,6.545592916527003702e+00,1.004000000049799723e+01
2.594285714285714500e+15,1.901304397834610027e+00,6.191245264424722450e+00,9.960000000501997519e+00
2.645714285714286000e+15,1.893168820760666282e+00,5.868423307888229523e+00,9.860000000506996543e+00
2.697142857142857000e+15,1.885399927339056703e+00,5.582085390261128488e+00,9.800000000509996312e+00
2.748571428571428500e+15,1.877959038108657275e+00,5.327100311033879265e+00,9.720000000513996596e+00
2.800000000000000000e+15,1.869246786526278070e+00,5.050508416658230360e+00,9.640000000517996881e+00
