rhoc,M,R 
2.8e+14,0.157240676183,18.3400000001,12742500.935 
3.31428571429e+14,0.276837986569,13.4400000003,1040076.08298 
3.82857142857e+14,0.452287378085,12.4800000004,129719.426692 
4.34285714286e+14,0.679214748295,12.4400000004,22036.2774392 
4.85714285714e+14,0.92822893992,12.6200000004,5266.97711123 
5.37142857143e+14,1.11544692231,12.7800000004,2150.62539225 
5.88571428571e+14,1.26300634293,12.8600000004,1121.70691975 
6.4e+14,1.38142662339,12.9000000004,676.149698159 
6.91428571429e+14,1.48772378508,12.9000000004,429.953606552 
7.42857142857e+14,1.57559807804,12.8800000004,294.554363102 
7.94285714286e+14,1.65725063835,12.8400000004,205.519839427 
8.45714285714e+14,1.72573921136,12.7800000004,150.456797254 
8.97142857143e+14,1.78298261422,12.7000000004,114.657626002 
9.48571428571e+14,1.83423133235,12.6200000004,88.758599 
1e+15,1.8752030507,12.5400000004,71.4406808344 
1.05142857143e+15,1.90795076313,12.4400000004,59.3454591046 
1.10285714286e+15,1.93391949859,12.3600000004,50.5959094623 
1.15428571429e+15,1.95440745881,12.3000000004,44.0664366023 
1.20571428571e+15,1.97049507663,12.2200000004,39.0479162902 
1.25714285714e+15,1.98379450121,12.1400000004,34.8542051923 
1.30857142857e+15,1.99439073399,12.0600000004,31.3810927021 
1.36e+15,2.00286326984,11.9800000004,28.3870415579 
1.41142857143e+15,2.00902062473,11.9000000004,25.9517124289 
1.46285714286e+15,2.0132818616,11.8200000004,23.9389091335 
1.51428571429e+15,2.01612803652,11.7400000004,22.1684074493 
1.56571428571e+15,2.01765886714,11.6600000004,20.6568101092 
1.61714285714e+15,2.01805411996,11.6000000004,19.2406098586 
1.66857142857e+15,2.01741366686,11.5200000004,18.0273656864 
1.72e+15,2.01594577428,11.4400000004,16.9859250979 
1.77142857143e+15,2.01379393525,11.3800000004,16.0840077972 
1.82285714286e+15,2.01077183002,11.2913059541,15.2131334926 
1.87428571429e+15,2.00721964229,11.2400000004,14.4405686777 
1.92571428571e+15,2.00209952045,11.1400000004,13.5746294028 
1.97714285714e+15,1.99600945753,11.0400000004,12.7232830032 
2.02857142857e+15,1.98976919936,10.9600000005,11.9774177983 
2.08e+15,1.98349309787,10.8800000005,11.3185125652 
2.13142857143e+15,1.97722552935,10.8000000005,10.7352221757 
2.18285714286e+15,1.96901275488,10.7000000005,10.0559740986 
2.23428571429e+15,1.96038356284,10.6000000005,9.4097485981 
2.28571428571e+15,1.95203490899,10.5000000005,8.83926973091 
2.33714285714e+15,1.94358472528,10.4000000005,8.30667432012 
2.38857142857e+15,1.93550637436,10.3200000005,7.83622662707 
2.44e+15,1.92739469158,10.2200000005,7.39933074453 
2.49142857143e+15,1.91826854042,10.1200000005,6.94496864649 
2.54285714286e+15,1.90960141478,10.0400000005,6.54552445864 
2.59428571429e+15,1.90130439783,9.9600000005,6.19124526142 
2.64571428571e+15,1.89316881763,9.86000000051,5.86840334869 
2.69714285714e+15,1.88539994565,9.80000000051,5.58206180354 
2.74857142857e+15,1.87795903811,9.72000000051,5.32710045812 
2.8e+15,1.86924679166,9.64000000052,5.05039665892 
