EoS,rhoc,M,R,Lambda
./dat/macro-AP4_LAL.csv,1.4276e+15,2.097654014514459,10.800046,9.15584098437
./dat/macro-APR4_EPP.csv,1.87838383838e+15,2.15895814477245,10.200049,3.77521068938
./dat/macro-APR_LAL.csv,1.40481618044e+15,2.0569867006125806,10.7600462,10.4311049562
./dat/macro-BHF_BBB2_LAL.csv,2.23822222222e+15,1.9214651476070916,9.5400523,5.008822195
./dat/macro-H3_LAL.csv,1.64496969697e+15,1.7901355716800351,11.8800406,45.4449041874
./dat/macro-H4_LAL.csv,1.59106060606e+15,2.03138733955847,11.7400413,18.1171570174
./dat/macro-HQC18_LAL.csv,1.88178551273e+15,2.0450373175008045,10.400048,7.04024293451
./dat/macro-KDE0V1_LAL.csv,2.13009391881e+15,1.9693512219614395,9.800051,4.90452692246
./dat/macro-KDE0V_LAL.csv,2.16655733034e+15,1.9600124937752919,9.6600517,4.64069874616
./dat/macro-MPA1_LAL.csv,1.48543434343e+15,2.4620029349795023,11.3400433,3.12003519549
./dat/macro-MS1B_LAL.csv,1.13090909091e+15,2.778427921395598,13.2800336,4.38587730587
./dat/macro-MS1B_PP.csv,1.14933333333e+15,2.7462438437827905,13.2200339,4.67771735313
./dat/macro-MS1_LAL.csv,1.09963636364e+15,2.7700274606133957,13.3800331,4.71893927936
./dat/macro-MS1_PP.csv,1.14933333333e+15,2.752731532318506,13.3000335,4.63174321525
./dat/macro-RS_LAL.csv,1.78012647016e+15,2.116446847922978,10.7800461,6.17749528389
./dat/macro-SK255_LAL.csv,1.76373355867e+15,2.1439753262700396,10.8400458,5.56084488363
./dat/macro-SK272_LAL.csv,1.65023648281e+15,2.2314198132306595,11.1000445,5.02315049841
./dat/macro-SKA_LAL.csv,1.70328419899e+15,2.208193865089483,10.9000455,4.81957619738
./dat/macro-SKB_LAL.csv,1.75525280698e+15,2.18798168851428,10.6200469,4.67073975712
./dat/macro-SKI2_LAL.csv,1.68832260186e+15,2.1627246938148375,11.1200444,6.57349338098
./dat/macro-SKI3_LAL.csv,1.60274511667e+15,2.239720250613672,11.3200434,5.87277234825
./dat/macro-SKI4_LAL.csv,1.75557625159e+15,2.1693049486353937,10.7000465,5.09688665522
./dat/macro-SKI5_LAL.csv,1.58558271428e+15,2.239980892440613,11.4600427,6.24563792445
./dat/macro-SKI6_LAL.csv,1.73577722979e+15,2.189722899762093,10.7600462,4.94589221722
./dat/macro-SKMP_LAL.csv,1.82914250647e+15,2.106944106976524,10.5600472,5.50293576306
./dat/macro-SKOP_LAL.csv,2.04542286843e+15,1.9726967586617241,10.1200494,6.2970069115
./dat/macro-SLY230A_LAL.csv,1.89596426903e+15,2.098893140099318,10.2600487,4.72682663879
./dat/macro-SLY2_LAL.csv,1.99075073197e+15,2.053519448464994,10.0600497,4.51179784794
./dat/macro-SLY9_LAL.csv,1.7911949267e+15,2.1558285347064867,10.6200469,4.86422482837
./dat/macro-SLY_LAL.csv,2.00021212121e+15,2.0490813684440874,10.00005,4.43219306844
./dat/macro-WFF1_LAL.csv,1.44579955896e+15,1.9236895462190655,10.200049,12.9360116083
